,Cycle,Branch,State,Pollster,Grade,Population,Clinton_adj_poll,Trump_adj_poll
197,2016,President,Connecticut,SurveyMonkey,C-,lv,49.71365,38.1838
198,2016,President,Tennessee,SurveyMonkey,C-,lv,36.72532,50.1421
199,2016,President,Ohio,Quinnipiac University,A-,lv,45.4265,46.4958
200,2016,President,Oklahoma,SoonerPoll.com,B,lv,28.329159999999998,60.14592
201,2016,President,Virginia,The Times-Picayune/Lucid,,lv,43.0226,41.85281
202,2016,President,Indiana,Gravis Marketing,B-,rv,37.70243,49.63599
203,2016,President,Missouri,Emerson College,B,lv,38.47355,47.26392
204,2016,President,North Carolina,Selzer & Company,A+,lv,44.96199,44.88707
205,2016,President,Iowa,Selzer & Company,A+,lv,39.687870000000004,45.299690000000005
206,2016,President,New Hampshire,Praecones Analytica,,lv,43.798320000000004,42.98452
207,2016,President,Alabama,SurveyMonkey,C-,lv,33.73641,54.102419999999995
208,2016,President,Arkansas,SurveyMonkey,C-,lv,37.72522,51.14244
209,2016,President,Louisiana,Southern Media & Opinion Research,B-,lv,34.87275,51.704190000000004
210,2016,President,Pennsylvania,The Times-Picayune/Lucid,,lv,47.52544,42.18987
211,2016,President,South Dakota,Nielson Brothers Polling,C-,lv,34.4856,49.891090000000005
212,2016,President,Washington,YouGov,B,lv,51.3789,39.20037
213,2016,President,Massachusetts,MassINC Polling Group,A-,lv,53.686730000000004,31.453609999999998
214,2016,President,Oklahoma,SurveyMonkey,C-,lv,29.72693,53.136309999999995
215,2016,President,Alaska,Craciun Research,,lv,44.08011,43.85737
216,2016,President,Hawaii,SurveyMonkey,C-,lv,49.70946,31.1988
217,2016,President,Pennsylvania,Marist College,A,lv,48.0417,39.66414
218,2016,President,Ohio,Suffolk University,B+,lv,44.65469,47.25517
219,2016,President,Delaware,SurveyMonkey,C-,lv,48.7235,37.14857
220,2016,President,Ohio,YouGov,B,lv,46.50486,43.77117
221,2016,President,Wisconsin,YouGov,B,lv,43.52856,40.8773
222,2016,President,Florida,Florida Atlantic University,C+,lv,46.4776,44.02984
223,2016,President,Idaho,SurveyMonkey,C-,lv,29.717670000000002,48.16943
224,2016,President,Wisconsin,Monmouth University,A+,lv,45.69044,41.73809
225,2016,President,Ohio,The Times-Picayune/Lucid,,lv,44.5381,43.29323
226,2016,President,Michigan,Marketing Resource Group (MRG),C+,lv,42.75185,39.2192
227,2016,President,U.S.,NBC News/Wall Street Journal,A-,lv,47.3027,40.27811
228,2016,President,Vermont,SurveyMonkey,C-,lv,51.70619,24.21046
229,2016,President,Nevada,Monmouth University,A+,lv,45.72622,41.74498
230,2016,President,Ohio,Baldwin Wallace University,,lv,44.51923,39.05433
231,2016,President,Kentucky,SurveyMonkey,C-,lv,29.724809999999998,57.14391
232,2016,President,U.S.,Fox News/Anderson Robbins Research/Shaw & Company Research,A,lv,45.80878,41.3288
233,2016,President,Louisiana,SurveyMonkey,C-,lv,36.733979999999995,50.11112
234,2016,President,Maine,SurveyMonkey,C-,lv,47.70675,36.208459999999995
235,2016,President,Rhode Island,SurveyMonkey,C-,lv,47.699709999999996,35.23362
236,2016,President,Indiana,The Times-Picayune/Lucid,,lv,37.52554,47.1907
237,2016,President,Maine CD-2,University of New Hampshire,B+,lv,42.57505,42.81375
238,2016,President,South Dakota,"Mason-Dixon Polling & Research, Inc.",B+,lv,35.398790000000005,46.01273
239,2016,President,Nebraska,SurveyMonkey,C-,lv,30.719720000000002,51.16212
240,2016,President,Arkansas,Hendrix College,C+,lv,31.551709999999996,56.372580000000006
241,2016,President,Montana,SurveyMonkey,C-,lv,34.71487,48.17945
242,2016,President,Maine CD-1,Maine People's Resource Center,C,lv,45.61723,34.98907
243,2016,President,U.S.,Insights West,,lv,43.40927,40.58682
244,2016,President,Oregon,Riley Research Associates,B+,lv,46.2164,38.3807
245,2016,President,Maine CD-1,University of New Hampshire,B+,lv,53.553219999999996,36.92638
246,2016,President,Ohio,Public Policy Polling,B+,lv,43.922779999999996,44.78949
247,2016,President,Nebraska CD-2,"North Star Opinion Research/Ayres, McHenry & Associates",B-,rv,40.90631,48.061659999999996
248,2016,President,Georgia,Opinion Savvy/InsiderAdvantage,C-,lv,45.10638,51.11841
249,2016,President,Louisiana,University of New Orleans,C,lv,34.8596,51.02677
250,2016,President,Alaska,Lake Research Partners,B+,lv,35.90143,41.54916
251,2016,President,Oregon,"Davis, Hibbitts & Midghall, Inc.",B,lv,44.58205,40.05672
252,2016,President,Iowa,The Times-Picayune/Lucid,,lv,41.55764,41.452740000000006
253,2016,President,Nevada,Public Opinion Strategies,B,lv,45.1515,42.93629
254,2016,President,New Hampshire,MassINC Polling Group,A-,lv,40.97172,41.539120000000004
255,2016,President,Maryland,ABC News/Washington Post,A+,lv,62.545,27.98505
256,2016,President,Wyoming,University of Wyoming,,lv,20.7208,59.936969999999995
257,2016,President,North Carolina,Marist College,A,lv,43.54048,43.59832
258,2016,President,Arizona,Arizona State University,C+,lv,43.15616,41.77341
259,2016,President,Oregon,Gravis Marketing,B-,rv,47.81702,40.89307
260,2016,President,West Virginia,Global Strategy Group,C+,lv,29.505840000000003,59.20534
261,2016,President,New Hampshire,Public Policy Polling,B+,lv,45.17889,36.65459
262,2016,President,Georgia,Landmark Communications,B,lv,41.3778,49.8495
263,2016,President,Maine CD-2,Maine People's Resource Center,C,lv,38.735409999999995,42.90639
264,2016,President,New Hampshire,University of New Hampshire,B+,lv,48.87063,38.087379999999996
265,2016,President,Vermont,Castleton University,B+,lv,47.17089,21.70191
266,2016,President,Wisconsin,McLaughlin & Associates,C-,lv,47.421459999999996,44.36462
267,2016,President,Michigan,"Glengariff Group, Inc.",B,lv,43.475570000000005,34.46255
268,2016,President,Indiana,Ball State University,,lv,37.020379999999996,45.59868
269,2016,President,Louisiana,JMC Enterprises,C,rv,39.20948,49.5823
270,2016,President,Florida,Opinion Savvy/InsiderAdvantage,C-,lv,47.97745,46.23028
271,2016,President,Virginia,Tarrance Group,B,lv,46.676829999999995,39.51299
272,2016,President,Utah,Monmouth University,A+,lv,26.854640000000003,35.49987
273,2016,President,Illinois,Illinois Public Opinion Strategies,,lv,49.22161,33.391059999999996
274,2016,President,District of Columbia,SurveyMonkey,C-,lv,86.69962,3.233949
275,2016,President,Illinois,Southern Illinois University,,lv,52.98969,31.91777
276,2016,President,Pennsylvania,"Susquehanna Polling & Research, Inc.",B-,lv,44.51331,42.79092
277,2016,President,Florida,Cherry Communications,C,lv,46.38989,44.11649
278,2016,President,West Virginia,SurveyMonkey,C-,lv,25.71923,57.16384
279,2016,President,Georgia,Clout Research/Wenzel Strategies,C-,lv,43.41778,46.02702
280,2016,President,Ohio,University of Akron,,lv,42.28248,41.35201
281,2016,President,California,Google Consumer Surveys,B,lv,51.21996,32.650259999999996
282,2016,President,Kentucky,Google Consumer Surveys,B,a,34.67545,42.844570000000004
283,2016,President,Texas,Google Consumer Surveys,B,lv,36.48458,48.81374
284,2016,President,North Carolina,Suffolk University,B+,lv,44.799490000000006,45.8353
285,2016,President,Indiana,Monmouth University,A+,lv,39.93858,46.79039
286,2016,President,New York,Google Consumer Surveys,B,lv,47.25013,35.99962
287,2016,President,Alaska,SurveyMonkey,C-,lv,36.71379,45.18332
288,2016,President,South Dakota,SurveyMonkey,C-,lv,25.71697,52.17194
289,2016,President,Florida,Google Consumer Surveys,B,lv,41.45237,49.89161
290,2016,President,Illinois,Google Consumer Surveys,B,lv,47.61267,34.05053
291,2016,President,U.S.,Selzer & Company,A+,lv,42.79428,44.8903
292,2016,President,New Mexico,SurveyUSA,A,lv,45.85792,34.16637
293,2016,President,New Hampshire,University of Massachusetts Lowell,B,lv,45.74426,41.86177
294,2016,President,Wisconsin,Gravis Marketing,B-,rv,48.79116,41.80661
295,2016,President,New Hampshire,Emerson College,B,lv,43.4295,36.745740000000005
296,2016,President,California,Sacramento State,,lv,59.39304,28.979840000000003
297,2016,President,Florida,Public Policy Polling,B+,lv,45.3635,43.756609999999995
298,2016,President,Pennsylvania,Public Policy Polling,B+,lv,45.645540000000004,40.5389
299,2016,President,New Jersey,Google Consumer Surveys,B,lv,43.48831,38.98614
300,2016,President,North Dakota,SurveyMonkey,C-,lv,29.710759999999997,52.19415
301,2016,President,Pennsylvania,Google Consumer Surveys,B,lv,41.81583,45.22926
302,2016,President,Florida,"Mason-Dixon Polling & Research, Inc.",B+,lv,45.99955,44.19342
303,2016,President,Tennessee,icitizen,,rv,35.13942,48.93215
304,2016,President,Ohio,Google Consumer Surveys,B,lv,38.301590000000004,41.17442
305,2016,President,Tennessee,Vanderbilt University,B+,rv,35.33206,48.333729999999996
306,2016,President,Nevada,JMC Enterprises,C,lv,42.98643,43.7723
307,2016,President,Missouri,Monmouth University,A+,lv,40.09431,47.83274
308,2016,President,U.S.,Pew Research Center,B+,rv,46.39849,42.214420000000004
309,2016,President,Nevada,Garin-Hart-Yang Research Group,B+,lv,45.211040000000004,43.31107
310,2016,President,U.S.,Quinnipiac University,A-,lv,45.98666,41.514340000000004
311,2016,President,Pennsylvania,Emerson College,B,lv,44.476009999999995,41.23695
312,2016,President,Florida,Ipsos,A-,lv,47.61042,45.28074
313,2016,President,California,Ipsos,A-,lv,63.888690000000004,26.516640000000002
314,2016,President,Wisconsin,Google Consumer Surveys,B,lv,46.15722,34.50006
315,2016,President,Indiana,Google Consumer Surveys,B,lv,41.41579,39.59938
316,2016,President,U.S.,ABC News/Washington Post,A+,lv,44.22542,43.99873
317,2016,President,Virginia,Public Policy Polling,B+,lv,46.656000000000006,41.55767
318,2016,President,Minnesota,Google Consumer Surveys,B,lv,39.71648,34.3927
319,2016,President,U.S.,CNN/Opinion Research Corp.,A-,lv,47.2917,42.01054
320,2016,President,Wyoming,SurveyMonkey,C-,lv,20.71724,61.17097
321,2016,President,Indiana,Public Opinion Strategies,B,lv,38.80628,46.80492
322,2016,President,Utah,Y2 Analytics,C+,lv,26.601609999999997,30.21319
323,2016,President,Ohio,TargetSmart/William & Mary,,lv,43.79919,43.46788
324,2016,President,Arizona,HighGround,,lv,39.3652,40.267340000000004
325,2016,President,Missouri,Google Consumer Surveys,B,lv,42.27454,43.92387
326,2016,President,North Carolina,Google Consumer Surveys,B,lv,39.35927,46.36697
327,2016,President,Nebraska CD-2,Emerson College,B,lv,38.62135,46.87498
328,2016,President,Virginia,YouGov,B,lv,46.75452,38.43676
329,2016,President,Florida,Marist College,A,lv,44.1607,44.734190000000005
330,2016,President,Washington,Google Consumer Surveys,B,lv,48.67224,32.51785
331,2016,President,U.S.,Echelon Insights,,lv,45.51639,41.51708
332,2016,President,Virginia,Hampton University,B,lv,46.22269,35.027440000000006
333,2016,President,Colorado,Magellan Strategies,C,lv,39.40213,37.14172
334,2016,President,Michigan,Google Consumer Surveys,B,lv,42.45037,40.69876
335,2016,President,Virginia,Google Consumer Surveys,B,lv,43.68501,39.6322
336,2016,President,Arizona,Google Consumer Surveys,B,lv,42.83902,38.683609999999994
337,2016,President,Rhode Island,Emerson College,B,lv,52.7187,33.18674
338,2016,President,Colorado,Google Consumer Surveys,B,lv,47.61501,33.71792
339,2016,President,Alaska,Moore Information,B,lv,35.35148,40.07154
340,2016,President,U.S.,RAND (American Life Panel),B-,lv,43.72398,37.47699
341,2016,President,Texas,YouGov,B,lv,41.69025,46.24957
342,2016,President,New York,Marist College,A,lv,52.31248,33.54544
343,2016,President,U.S.,Monmouth University,A+,lv,46.5942,43.64248
344,2016,President,New Jersey,Ipsos,A-,lv,49.824529999999996,35.293859999999995
345,2016,President,New Jersey,Fairleigh Dickinson University (PublicMind),A,lv,48.405229999999996,37.56581
346,2016,President,Georgia,Google Consumer Surveys,B,lv,37.88361,47.31145
347,2016,President,Virginia,Roanoke College,C+,lv,44.97071,39.92325
348,2016,President,New Hampshire,Suffolk University,B+,lv,44.7699,45.07323
349,2016,President,Louisiana,Market Research Insight,B+,lv,34.73553,52.29141
350,2016,President,Maryland,Google Consumer Surveys,B,lv,52.25542,30.93072
351,2016,President,Missouri,YouGov,B,lv,38.76277,47.44693
352,2016,President,Colorado,CNN/Opinion Research Corp.,A-,lv,42.0593,41.98827
353,2016,President,Texas,Ipsos,A-,lv,32.2752,48.22123
354,2016,President,Colorado,Public Policy Polling,B+,lv,46.78294,41.78557
355,2016,President,Massachusetts,Google Consumer Surveys,B,lv,51.2297,30.542690000000004
356,2016,President,California,SurveyUSA,A,lv,59.03139,34.05267
357,2016,President,New York,Ipsos,A-,lv,50.93743,30.852590000000003
358,2016,President,Arizona,Emerson College,B,lv,44.55522,42.70431
359,2016,President,Pennsylvania,CNN/Opinion Research Corp.,A-,lv,45.87527,43.752590000000005
360,2016,President,North Carolina,High Point University,B+,lv,43.94019,44.52021
